id,date,incident_type,severity,status,description,reported_by
1,1/15/2024,Phishing,High,Investigating,Suspicious email campaign targeting finance department with fake invoice requests,Emma
2,1/15/2024,Malware,Critical,Resolved,"Ransomware detected on marketing department file server, immediate isolation performed",Brian
3,1/16/2024,Phishing,High,Open,Credential harvesting campaign using fake HR portal login pages,Emma
4,1/16/2024,DDoS,Medium,Closed,"Application layer DDoS attack against customer portal, mitigated with WAF",Emma
5,1/17/2024,Phishing,Critical,Investigating,CEO impersonation attack requesting urgent wire transfers to external accounts,Emma
6,1/17/2024,Phishing,High,Open,Supply chain phishing targeting vendor credentials through fake portal,Brian
7,1/18/2024,Malware,High,Resolved,"Trojan horse detected on sales laptop, system wiped and restored from backup",Alice
8,1/18/2024,Phishing,Low,Closed,"Single phishing email reported by employee, confirmed false positive",Alex
9,1/19/2024,DDoS,Low,Resolved,"Minor volumetric attack on development environment, no impact",Alice
10,1/19/2024,Phishing,Medium,Investigating,Spear phishing targeting executives with fake board meeting invitations,Emma
11,1/20/2024,Malware,Low,Open,Potentially unwanted program detected on user workstation,Emma
12,1/21/2024,Phishing,High,Investigating,Business email compromise attempt targeting accounting department,Brian
14,1/22/2024,Phishing,Critical,Investigating,Advanced persistent threat phishing campaign using zero-day exploits,Lexi
16,1/23/2024,Phishing,Low,Closed,Phishing test email reported by vigilant employee,Emma
17,1/24/2024,Malware,Medium,Resolved,"Adware infection on marketing computer, cleaned and removed",John
18,1/24/2024,Phishing,High,Open,Credential phishing using fake VPN login page,Lexi
19,1/25/2024,DDoS,Low,Closed,"Small-scale DDoS attempt on test server, auto-mitigated",Lexi
20,1/25/2024,Phishing,Critical,Investigating,Whaling attack targeting C-level executives with custom malware,John
23,1/27/2024,Malware,High,Open,Fileless malware detected in memory on critical server,Brian
24,1/27/2024,Phishing,Medium,Investigating,Vendor impersonation phishing requesting payment details,Brian
27,1/29/2024,DDoS,Medium,Resolved,DNS amplification attack against web services,Emma
28,1/29/2024,Phishing,High,Open,Multi-factor authentication bypass phishing campaign,Lexi
29,1/30/2024,Malware,Low,Open,Cryptominer detected on development server,Lexi
30,1/30/2024,Phishing,Critical,Investigating,Credential stuffing attack following password breach,Robert
32,2/1/2024,Malware,High,Resolved,"Rootkit infection on database server, system rebuilt",Emma
34,2/2/2024,DDoS,Low,Resolved,"Minor ping flood attack, no service impact",Emma
35,2/2/2024,Phishing,High,Open,Session hijacking through phishing proxy server,Emma
38,2/4/2024,Malware,Low,Open,Browser hijacker on user workstation,Alice
39,2/4/2024,Phishing,Medium,Investigating,Clone phishing resending legitimate emails with malicious links,Alex
42,2/6/2024,DDoS,Medium,Resolved,HTTP flood attack on web application,Emma
43,2/6/2024,Phishing,High,Open,Evil twin phishing using fake corporate WiFi,Brian
44,2/7/2024,Malware,Critical,Investigating,Advanced persistent threat malware in network,Emma
45,2/7/2024,Phishing,Medium,Investigating,Search engine poisoning leading to phishing sites,Lexi
47,2/8/2024,Phishing,High,Open,Credential phishing targeting remote workers,Emma
50,2/10/2024,Malware,High,Open,File-encrypting malware on shared network drive,Lexi
51,2/10/2024,Phishing,Critical,Investigating,Business email compromise with social engineering,John
53,2/11/2024,Phishing,Medium,Open,Voice phishing (vishing) targeting help desk,Emma
56,2/13/2024,Malware,Medium,Resolved,Spyware on executive assistant computer,Alice
57,2/13/2024,Phishing,High,Investigating,Angler phishing using fake social media accounts,John
59,2/14/2024,Phishing,Medium,Open,Tabnabbing phishing attack targeting web applications,Lexi
60,2/15/2024,DDoS,Low,Resolved,UDP flood attack mitigated by ISP,Lexi
61,2/15/2024,Phishing,High,Investigating,Homograph attack using international characters,Robert
62,2/16/2024,Malware,Low,Open,Potentially unwanted application in browser,Robert
63,2/16/2024,Phishing,Critical,Investigating,Man-in-the-middle phishing intercepting communications,Emma
67,2/18/2024,Phishing,Medium,Open,Watering hole phishing targeting industry websites,Emma
68,2/19/2024,Malware,High,Resolved,Bootkit infection on endpoint device,Brian
69,2/19/2024,Phishing,High,Investigating,Credential phishing using fake cloud storage links,Alice
70,2/20/2024,DDoS,Medium,Closed,Application DDoS mitigated by cloud provider,Alex
71,2/20/2024,Phishing,Low,Resolved,"Single user reported phishing email, no impact",Alice
73,2/21/2024,Phishing,Medium,Open,SMS phishing (smishing) targeting mobile devices,Emma
74,2/22/2024,Malware,Low,Open,Adware bundle in downloaded software,Brian
75,2/22/2024,Phishing,High,Investigating,Evilginx phishing proxy capturing 2FA tokens,Emma
78,2/24/2024,DDoS,Low,Resolved,"Minor volumetric attack, no impact",Emma
79,2/24/2024,Phishing,Medium,Open,Fake update phishing using software impersonation,John
