id,ticket_id,priority,status,category,subject,description,created_date,resolved_date,assigned_to
1,T001,Medium,Resolved,Hardware,Monitor flicker,Monitor flicker reported by user.,9/27/2024,9/30/2024,Bob
2,T002,Medium,Resolved,Hardware,Keyboard not working,Keyboard not working reported by user.,4/9/2024,4/14/2024,Charlie
3,T003,High,Open,Software,Application crash,Application crash reported by user.,10/20/2024,,David
4,T004,High,In Progress,Hardware,Keyboard not working,Keyboard not working reported by user.,8/23/2024,,Eve
5,T005,Low,Resolved,Network,VPN dropouts,VPN dropouts reported by user.,7/8/2024,7/9/2024,Alice
6,T006,Critical,Open,Network,Router outage,Router outage reported by user.,1/21/2024,,Bob
7,T007,Critical,Open,Software,Application crash,Application crash reported by user.,9/21/2024,,Charlie
8,T008,Medium,Resolved,Network,Switch failure,Switch failure reported by user.,9/20/2024,9/22/2024,David
9,T009,Medium,Resolved,Software,Database deadlock,Database deadlock reported by user.,2/23/2024,2/25/2024,Eve
10,T010,Medium,Resolved,Software,Install antivirus,Install antivirus reported by user.,9/26/2024,9/27/2024,Alice
11,T011,Medium,Resolved,Hardware,Mouse unresponsive,Mouse unresponsive reported by user.,12/3/2024,12/7/2024,Bob
12,T012,High,Resolved,Hardware,Mouse unresponsive,Mouse unresponsive reported by user.,6/5/2024,6/6/2024,Charlie
13,T013,Medium,Closed,Network,Router outage,Router outage reported by user.,5/18/2024,5/21/2024,David
14,T014,High,Resolved,Software,Application crash,Application crash reported by user.,8/18/2024,8/19/2024,Eve
15,T015,Medium,Closed,Network,VPN dropouts,VPN dropouts reported by user.,3/2/2024,3/8/2024,Alice
16,T016,High,In Progress,Network,Firewall outage,Firewall outage reported by user.,4/10/2024,,Bob
17,T017,Medium,Resolved,Hardware,Laptop overheating,Laptop overheating reported by user.,7/25/2024,7/28/2024,Charlie
18,T018,Medium,Resolved,Software,CRM login issues,CRM login issues reported by user.,8/18/2024,8/21/2024,David
19,T019,Medium,Closed,Software,Application crash,Application crash reported by user.,6/18/2024,6/22/2024,Eve
20,T020,Medium,Closed,Software,Email bounce issues,Email bounce issues reported by user.,11/26/2024,12/2/2024,Alice
21,T021,Medium,Closed,Network,VPN dropouts,VPN dropouts reported by user.,4/30/2024,5/6/2024,Bob
22,T022,Medium,Resolved,Hardware,Screen cracked,Screen cracked reported by user.,8/12/2024,8/15/2024,Charlie
23,T023,Medium,Resolved,Hardware,Screen cracked,Screen cracked reported by user.,6/28/2024,7/2/2024,David
24,T024,High,Resolved,Network,Router outage,Router outage reported by user.,4/22/2024,4/25/2024,Eve
25,T025,Critical,Resolved,Software,Install antivirus,Install antivirus reported by user.,12/8/2024,12/11/2024,Alice
26,T026,Low,Resolved,Software,CRM login issues,CRM login issues reported by user.,6/8/2024,6/11/2024,Bob
27,T027,Medium,Closed,Software,CRM login issues,CRM login issues reported by user.,10/6/2024,10/12/2024,Charlie
28,T028,High,Open,Hardware,Mouse unresponsive,Mouse unresponsive reported by user.,7/19/2024,,David
29,T029,Medium,Resolved,Network,Router outage,Router outage reported by user.,12/11/2024,12/15/2024,Eve
30,T030,High,In Progress,Network,Router outage,Router outage reported by user.,12/3/2024,,Alice
31,T031,Low,Resolved,Network,Router outage,Router outage reported by user.,10/24/2024,10/26/2024,Bob
32,T032,High,Resolved,Hardware,HDD failure,HDD failure reported by user.,1/2/2024,1/7/2024,Charlie
33,T033,Critical,In Progress,Network,VPN dropouts,VPN dropouts reported by user.,1/9/2024,,David
34,T034,Critical,Resolved,Software,Application crash,Application crash reported by user.,4/29/2024,4/30/2024,Eve
35,T035,Critical,Resolved,Software,Install antivirus,Install antivirus reported by user.,8/14/2024,8/16/2024,Alice
36,T036,High,In Progress,Software,Email bounce issues,Email bounce issues reported by user.,6/11/2024,,Bob
37,T037,Medium,Resolved,Network,VPN dropouts,VPN dropouts reported by user.,7/13/2024,7/16/2024,Charlie
