dataset_name,category,source,last_updated,record_count,file_size_mb
Mobile Device Logs Oct 2025,Endpoint Monitoring,Internal MDM,2025-11-08,180000,85.4
Insider Threat Behavior Indicators Q3 2025,Threat Intelligence,Internal SOC,2025-11-10,3200,14.8
Cloud API Access Logs Oct 2025,Access Logs,Internal Cloud Platform,2025-11-09,450000,210.5
External Exploit Kit Reports Nov 2025,Threat Intelligence,External Security Vendor,2025-11-13,8000,11.2
Data Exfiltration Alerts Sep-Oct 2025,Endpoint Monitoring,Internal DLP,2025-10-26,25000,22.6
Application Authentication Logs Oct 2025,Access Logs,Internal App Platform,2025-11-04,110000,50.0
Zero-Day Vulnerability Alerts Nov 2025,Threat Intelligence,External Threat Feed,2025-11-14,3000,6.5
Internal Penetration Test Findings 2025,Compliance,Internal Red Team,2025-11-05,950,7.9
Remote Desktop Logs Oct 2025,Network Logs,Internal RDP Server,2025-11-01,380000,200.0
SaaS Access Logs Oct 2025,Access Logs,External SaaS Provider,2025-11-08,500000,245.3
Identity Threat Alerts Nov 2025,Threat Intelligence,Internal IAM,2025-11-12,5200,12.0
Container Security Alerts Oct 2025,Compliance,Internal DevOps Platform,2025-11-09,30000,18.7
Server Patch Status Oct 2025,Compliance,Internal SCCM,2025-11-06,15000,12.1
Mobile App Threat Reports Nov 2025,Threat Intelligence,External Malware Repo,2025-11-10,4200,5.7
Web Login Failures Oct 2025,Access Logs,Internal Web Portal,2025-11-04,270000,95.0
Email Spoofing Alerts Oct 2025,Threat Intelligence,Internal Email Gateway,2025-11-08,9000,8.4
Internal HR System Logs Oct 2025,Network Logs,Internal HR Platform,2025-11-03,125000,65.0
API Gateway Security Events Oct 2025,Network Logs,Internal API Gateway,2025-11-05,280000,140.0
IoT Firmware Update Logs Oct 2025,Endpoint Monitoring,Internal IoT Platform,2025-11-02,22000,12.0
Dark Web Marketplace Listings Nov 2025,Threat Intelligence,External Dark Web Feed,2025-11-13,5000,9.3
External Breach Notifications Nov 2025,Threat Intelligence,External Security Vendor,2025-11-14,3800,4.8
Internal SOC Audit Findings 2025,Compliance,Internal SOC,2025-11-06,1100,6.1
Network Device Authentication Logs Oct 2025,Access Logs,Internal Network,2025-11-03,190000,85.7
Cloud Resource Misconfiguration Alerts Oct 2025,Compliance,Internal Cloud Platform,2025-11-09,6200,14.0
Malicious Domain Indicators Nov 2025,Threat Intelligence,External DNS Feed,2025-11-12,22000,10.9
DNS Query Logs Oct 2025,Network Logs,Internal DNS Server,2025-11-04,900000,410.0
Mobile Device Threat Alerts Oct 2025,Endpoint Monitoring,Internal MDM,2025-11-07,35000,20.1
